Address,Area,Price,Lat,Lon
#Th6 - 6 PIRANDELLO ST Toronto,King West Village,589900,43.63818,-79.413895
48 BALMORAL AVE Toronto,Midtown Toronto,1399000,43.68544,-79.395966
148 BLYTHWOOD RD Toronto,Midtown Toronto,2799000,43.717831,-79.395996
#432 - 231 FORT YORK BLVD Toronto,Niagara,450000,43.636837,-79.406052
#N707 - 455 FRONT ST E Toronto,Downtown,449900,43.652714,-79.3563
#711 - 2055 DANFORTH AVE Toronto,East Danforth,397500,43.685455,-79.313133
712 BROCK AVE Toronto,Wallace Emerson,939000,43.661915,-79.439941
#319 - 900 MOUNT PLEASANT RD Toronto,North Toronto,380000,43.711781,-79.39164
#630 - 155 DALHOUSIE ST Toronto,Downtown,565000,43.65765,-79.376762
#915 - 50 WESTERN BATTERY RD Toronto,Niagara,349000,43.639881,-79.414192
1004 126 Simcoe Street Toronto,Entertainment District,573000,43.649025,-79.38713800000001
#804 - 210 SIMCOE ST Toronto,Downtown,589000,43.652451,-79.388931
#202 - 8 MERCER ST Toronto,Downtown,299000,43.645984999999996,-79.389938
#4001 - 38 GRENVILLE ST Toronto,Downtown,599000,43.661896,-79.38575
#411 - 10 YONGE ST Toronto,Downtown,739900,43.642464000000004,-79.375519
#707 - 383 ELLIS PARK RD Toronto,Swansea,1299900,43.652039,-79.470833
#2111 - 290 ADELAIDE ST W Toronto,Downtown,508000,43.647942,-79.390945
#1807 - 58 ORCHARD VIEW BLVD Toronto,Midtown Toronto,599000,43.708008,-79.400787
4 A VIOLET AVE Toronto,The Beach,2095000,43.668625,-79.296623
#702 - 500 SHERBOURNE ST Toronto,Downtown,375000,43.667915,-79.375679
#2115 - 763 BAY ST Toronto,Downtown,339000,43.660103,-79.385086
#406 - 707 DOVERCOURT RD Toronto,Dufferin Grove,379900,43.660225,-79.428726
82 CHISHOLM AVE Toronto,Woodbine - Lumsden,899900,43.690174,-79.304123
#616 - 6 PARKWOOD AVE Toronto,Midtown Toronto,579000,43.685623,-79.409592
#414 - 22 LEADER LANE Toronto,Downtown,579000,43.649246000000005,-79.375755
#525 - 36 BLUE JAYS WAY Toronto,Downtown,359900,43.644932,-79.392143
6 GROVE AVE Toronto,Trinity - Bellwoods,919000,43.647694,-79.42276
90 FAIRLEIGH CRES Toronto,Midtown Toronto,1399000,43.70208,-79.437904
295 Adelaide Street Toronto,Downtown,1900,43.647663,-79.390419
40 MALLON AVE W Toronto,Leslieville,859000,43.665805999999996,-79.33489200000001
#603 - 215 FORT YORK BLVD Toronto,Niagara,289000,43.636345,-79.404808
#810 - 51 LOWER SIMCOE ST Toronto,Entertainment District,560000,43.642208000000004,-79.383728
#1231 - 38 GRAND MAGAZINE ST Toronto,Niagara,309900,43.637035,-79.402863
#407 - 105 THE QUEENSWAY AVE Toronto,Swansea,269900,43.636173,-79.47075699999999
#2407 - 35 BALMUTO ST Toronto,Downtown,425000,43.669456,-79.387474
#609 - 222 THE ESPLANADE Toronto,Downtown,395000,43.649731,-79.365303
#2 B - 36 HAZELTON AVE Toronto,Midtown Toronto,1399999,43.671864,-79.393814
#1315 - 150 EAST LIBERTY ST Toronto,Liberty Village,375000,43.638775,-79.41626
#3614 - 18 YONGE ST Toronto,Downtown,420000,43.644455,-79.37653399999999
#703 - 1166 BAY ST Toronto,Downtown,1525000,43.668617,-79.38943499999999
#910 - 75 EAST LIBERTY ST Toronto,Liberty Village,379900,43.638306,-79.414787
#2111 - 170 FORT YORK BLVD Toronto,Downtown,449900,43.639343,-79.39984100000001
#1203 - 159 DUNDAS ST E Toronto,Downtown,374000,43.656807,-79.37509200000001
1315 DANFORTH RD Toronto,Eglinton East,699900,43.742371,-79.245285
#39 - 17 PEMBROKE ST Toronto,Downtown,500000,43.656715000000005,-79.37155899999999
#3010 - 2191 YONGE ST Toronto,Davisville,415000,43.705597,-79.397453
#728 - 2 OLD MILL DR Toronto,Lambton Baby Point,404900,43.648071,-79.486664
#211 - 2 OLD MILL DR Toronto,Lambton Baby Point,514900,43.648071,-79.486664
#902 - 2261 LAKE SHORE BLVD W Toronto,Mimico,699995,43.62001,-79.483086
#3005 - 2015 SHEPPARD AVE E Toronto,Henry Farm,399000,43.775208,-79.336426
#1606 - 19 SINGER CRT Toronto,Bayview Village,349900,43.769569,-79.369514
129 WATSON AVE Toronto,Lambton,959000,43.664501,-79.492035
154 DUNBLAINE AVE Toronto,Nortown,2698000,43.734093,-79.42907
24 CORONATION DR Toronto,West Hill,669000,43.760899,-79.191841
#210 - 165 CHEROKEE BLVD Toronto,Pleasant View,385000,43.792374,-79.33669300000001
#5 - 175 TORYORK DR Toronto,Humber Summit,312900,43.757954,-79.557304
#905 - 120 HARRISON GARDEN BLVD Toronto,Willowdale,399000,43.757988,-79.403625
93 DAIRY DR Toronto,Scarborough Junction,678000,43.701309,-79.27533000000001
#2010 - 100 MORNELLE CRT Toronto,Morningside,255999,43.786823,-79.19548
195 GILTSPUR DR Toronto,Downsview,619900,43.738079,-79.50128199999999
#1016 - 55 DE BOERS DR Toronto,Toronto,352500,43.75103,-79.465858
#2308 - 2000 ISLINGTON AVE Toronto,Kingsview Village,479900,43.697365000000005,-79.546089
#13 - 1415 KENNEDY RD Toronto,Dorset Park,688888,43.764812,-79.280273
3 JASMINE RD Toronto,Humberlea,599000,43.721088,-79.538445
#809 - 40 PANORAMA CRT Toronto,Rexdale,59500,43.747585,-79.579842
35 MAGNOLIA AVE Toronto,Kennedy Park,749000,43.720936,-79.254662
#513 - 4200 BATHURST ST Toronto,Wilson Heights,294000,43.749321,-79.437149
#25 - 21 REPLIN RD Toronto,Lawrence Heights,575000,43.717735,-79.44203900000001
198 GLENDORA AVE Toronto,Willowdale,1528000,43.761971,-79.397667
53 ASPENWOOD DR Toronto,Hillcrest Village,2000000,43.807964,-79.366913
627 CALEDONIA RD Toronto,Briar Hill - Belgravia,650000,43.694396999999995,-79.462372
#903 - 335 MILL RD Toronto,Eringate - Centennial - West Deane,259900,43.639858000000004,-79.584564
#730 - 2885 BAYVIEW AVE Toronto,Bayview Village,524888,43.767936999999996,-79.387955
124 GREENWICH SQ Toronto,Eglinton East,699800,43.743881,-79.231148
#2813 - 181 VILLAGE GREEN SQ Toronto,Agincourt,293900,43.779205,-79.28151700000001
117 VEROBEACH BLVD Toronto,Emery,699800,43.736176,-79.544945
43 JOHN CABOT WAY Toronto,Jane and Finch,399900,43.738815,-79.51902
#821 - 165 LEGION RD N Toronto,Mimico,314900,43.624207,-79.488228
63 JARWICK DR Toronto,Bendale,639000,43.764198,-79.241608
22 MOSSBROOK CRES Toronto,L'Amoreaux,699000,43.809433,-79.32437900000001
92 FRANK RIVERS DR Toronto,Steeles,699900,43.818989,-79.32539399999999
90 CRITTENDEN SQ Toronto,Malvern,549000,43.81366,-79.234749
#1304 - 2 ANNDALE DR Toronto,Willowdale,418888,43.760464,-79.410248
